stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
coefficient self-diffusion	self-diffusion coefficients	self-diffusion coefficients	2	4,72091812914	30,4705252852	177,212791871	2,0	27,0	 
breast cancer lymph metastatic node patient sentinel	breast cancer patients with metastatic sentinel lymph node	breast cancer patients with metastatic sentinel lymph node	8	5,95713542369	34,648562585	205,381886139	3,0	53,0	 
involvement nodal	nodal involvement	nodal involvement	2	15,7363937638	76,2416688891	198,260303967	12,0	186,0	 
axillary lymph node staging	axillary lymph node staging	axillary lymph node staging	4	5,95713542369	34,648562585	72,0097261665	3,0	34,0	 
different specie	different species	different species	2	4,72091812914	28,5563577056	168,181582078	3,0	39,0	 
cleft lip nonsyndromic palate	nonsyndromic cleft lip and palate	nonsyndromic cleft lip and palate	5	5,95713542369	34,648562585	231,611299391	3,0	30,0	 
determinant important	important determinant	important determinant|&|important determinants	2	4,72091812914	28,5563577056	250,953678007	3,0	48,0	 
fluorescent tracer	fluorescent tracer	fluorescent tracer	2	4,72091812914	28,5563577056	302,733290502	3,0	38,0	 
factor gene transcription	transcription factor genes	transcription factor genes|&|transcription factor gene|&|gene transcription factor|&|gene transcription factors	3	21,8428298869	108,53734645	192,315827995	9,0	164,0	 
M-1 s-1	M-1 s-1	M-1 s-1	2	9,44183625827	57,1127154113	105,743068662	3,0	30,0	 
bone resorption	bone resorption	bone resorption	2	4,72091812914	28,5563577056	344,361156835	3,0	52,0	 
cell number	cell number	cell number	2	7,86819688189	43,5746529293	220,671633157	5,0	100,0	 
lymph melanoma node positivity sentinel	melanoma sentinel lymph node positivity	melanoma sentinel lymph node positivity	5	3,9714236158	24,709315429	456,826420741	2,0	31,0	 
primary role	primary role	primary role	2	6,29455750551	36,2643122592	135,446564902	4,0	56,0	 
endocrine hormone pancreatic	pancreatic endocrine hormones	pancreatic endocrine hormones	3	5,95713542369	34,648562585	125,855003518	3,0	45,0	 
acid uric	uric acid	uric acid|&|Uric acid	2	28,3255087748	156,868750546	126,474274933	5,0	76,0	 
analysis replication	replication analysis	replication analysis	2	4,72091812914	33,7428163761	112,947934015	1,0	18,0	 
expression fibronectin	fibronectin expression	fibronectin expression|&|expression of fibronectin|&|expressions of fibronectin	2	11,0154756347	61,004514101	190,80520414	5,0	75,0	 
factor transcriptional	transcriptional factor	transcriptional factor|&|transcriptional factors|&|factor transcriptional	2	7,86819688189	43,5746529293	154,478926591	8,0	122,0	 
aspect biopharmaceutical delivery drug	biopharmaceutical aspects in drug delivery	biopharmaceutical aspects in drug delivery	5	3,9714236158	24,709315429	521,09819458	2,0	20,0	 
factor transcription	transcription factor	transcription factor|&|transcription factors|&|Transcription factors	2	376,099810955	695,481544695	511,946501432	308,0	4605,0	 
mechanism molecular understanding	understanding of the molecular mechanisms	understanding of the molecular mechanisms|&|understanding of molecular mechanisms	5	3,9714236158	24,709315429	217,112855891	2,0	29,0	 
allele risk	risk allele	risk allele|&|risk alleles	2	6,29455750551	36,2643122592	361,306431466	4,0	46,0	 
control light temperature	Light and temperature control	Light and temperature control	4	3,9714236158	24,709315429	224,348733293	2,0	8,0	 
exact role	exact role	exact role	2	4,72091812914	28,5563577056	127,779498899	3,0	67,0	 
cell epithelial migration	epithelial cell migration	epithelial cell migration|&|Epithelial cell migration	3	9,92855903949	57,7476043083	979,67373224	3,0	28,0	 
methylation pattern	methylation patterns	methylation patterns|&|methylation pattern	2	6,29455750551	36,2643122592	387,58255028	6,0	89,0	 
cell clear	clear cell	clear cell|&|cell clear	2	4,72091812914	30,4705252852	152,573459413	4,0	66,0	 
SLNs lymphatic vessel	Lymphatic vessels and SLNs	Lymphatic vessels and SLNs|&|lymphatic vessels and SLNs	4	3,9714236158	24,709315429	205,850681524	2,0	25,0	 
SLNs axillary consecutive	consecutive axillary SLNs	consecutive axillary SLNs	3	3,9714236158	24,709315429	262,890311386	2,0	24,0	 
Solid lipid nanoparticles	Solid lipid nanoparticles	Solid lipid nanoparticles	3	43,6856597738	167,048832659	1030,80689837	34,0	448,0	 
family new	new family	new family	2	4,72091812914	28,5563577056	107,205763987	3,0	37,0	 
fiber sensory	sensory fibers	sensory fibers	2	4,72091812914	33,7428163761	264,443775309	3,0	48,0	 
adult bone cell marrow stromal	adult bone marrow stromal cells	adult bone marrow stromal cells	5	3,9714236158	24,709315429	404,024776842	2,0	27,0	 
carcinoma cell	cell carcinoma	cell carcinoma|&|carcinoma cells|&|cell carcinomas|&|carcinoma cell	2	48,7828206677	186,121434172	1139,14495165	167,0	2372,0	 
chemical modification	Chemical modification	Chemical modification|&|chemical modification	2	6,29455750551	36,2643122592	222,156140363	4,0	46,0	 
contraceptive vaccine	contraceptive vaccine	contraceptive vaccine|&|contraceptive vaccines	2	4,72091812914	30,4705252852	273,402797706	2,0	23,0	 
ammonia excretion	ammonia excretion	ammonia excretion|&|Ammonia excretion	2	18,8836725165	101,136266459	191,014155586	13,0	180,0	 
leukemia murine sarcoma virus	murine sarcoma and leukemia viruses	murine sarcoma and leukemia viruses	5	3,9714236158	24,709315429	244,491240182	2,0	21,0	 
horseradish peroxidase	horseradish peroxidase	horseradish peroxidase	2	4,72091812914	28,5563577056	178,686663117	3,0	49,0	 
cell lineage	cell lineages	cell lineages|&|cell lineage|&|lineage cells	2	11,0154756347	58,9961554345	192,057953966	12,0	167,0	 
recognition site	recognition sites	recognition sites	2	4,72091812914	30,4705252852	175,880616305	2,0	34,0	 
cell eukaryotic	eukaryotic cells	eukaryotic cells	2	11,0154756347	63,4625464536	168,895174505	4,0	78,0	 
analysis diagnostic frozen intraoperative section validity	Diagnostic validity of the intraoperative analysis in frozen section	Diagnostic validity of the intraoperative analysis in frozen section	9	3,9714236158	24,709315429	228,108057643	2,0	36,0	 
PDZ1 domain interaction	interaction with the PDZ1 domain	interaction with the PDZ1 domain|&|interaction with PDZ1 domain	5	5,95713542369	34,648562585	159,005370206	3,0	47,0	 
pivotal role	pivotal role	pivotal role	2	9,44183625827	50,5681332296	135,43012845	6,0	112,0	 
antioxidant system	antioxidant systems	antioxidant systems	2	4,72091812914	28,5563577056	245,797331149	3,0	44,0	 
growth hormone	growth hormone	growth hormone|&|Growth hormone	2	9,44183625827	50,5681332296	223,537280689	10,0	145,0	 
control transcriptional	transcriptional control	transcriptional control	2	7,86819688189	43,5746529293	160,951918269	5,0	95,0	 
T-cell clone	T-cell clones	T-cell clones	2	4,72091812914	30,4705252852	92,2254733659	2,0	11,0	 
progenitor retinal	retinal progenitors	retinal progenitors	2	6,29455750551	36,2643122592	371,727365477	5,0	75,0	 
DNA level methylation	DNA methylation levels	DNA methylation levels|&|level of DNA methylation	3	3,9714236158	24,709315429	170,407794022	2,0	53,0	 
matrix zona	zona matrix	zona matrix	2	14,1627543874	78,4343752728	190,164061157	5,0	84,0	 
cell cortex glial proliferation rat	proliferation of glial cells in the rat cortex	proliferation of glial cells in the rat cortex	8	3,9714236158	24,709315429	588,312767364	2,0	21,0	 
effect fluid follicular inhibitory	inhibitory effects of follicular fluid	inhibitory effects of follicular fluid	5	3,9714236158	24,709315429	512,856609305	2,0	36,0	 
corneal epithelium	corneal epithelium	corneal epithelium	2	12,589115011	63,8025149427	70,0533891056	8,0	119,0	 
Medical record	Medical records	Medical records	2	6,29455750551	36,2643122592	178,164425598	4,0	50,0	 
recurrence-free survival	recurrence-free survival	recurrence-free survival	2	4,72091812914	28,5563577056	563,868574301	3,0	41,0	 
dosage effect genome stability	dosage effects on genome stability	dosage effects on genome stability	5	3,9714236158	24,709315429	257,3760277	2,0	33,0	 
activation gene insulin rat	activation of the rat insulin gene	activation of the rat insulin gene	6	3,9714236158	24,709315429	128,203502224	2,0	11,0	 
decade past	past decade	past decade|&|past decades	2	6,29455750551	36,2643122592	111,250491521	4,0	45,0	 
blood vessel	blood vessels	blood vessels|&|blood vessel	2	14,1627543874	70,1096971055	289,671357398	9,0	162,0	 
GABAergic neuron	GABAergic neurons	GABAergic neurons	2	6,29455750551	36,2643122592	268,10112341	4,0	64,0	 
axillary complete dissection lymph node	complete axillary lymph node dissection	complete axillary lymph node dissection	5	25,8142535027	112,291374387	601,733258988	13,0	227,0	 
gene transcription	gene transcription	gene transcription|&|transcription of genes	2	17,3100331402	82,216013407	154,838226966	24,0	417,0	 
function gene	gene function	gene function|&|function of each gene|&|functions of these genes	2	6,29455750551	36,2643122592	232,040066786	4,0	47,0	 
A5 activity cortex ephrin neuron olfactory repulsive	olfactory cortex neurons via the repulsive activity of ephrin A5	olfactory cortex neurons via the repulsive activity of ephrin A5	10	3,9714236158	24,709315429	228,816589156	2,0	44,0	 
identity sequence	sequence identity	sequence identity|&|sequence identities	2	6,29455750551	38,0751436075	155,477882683	6,0	88,0	 
most patient	most patients	most patients|&|Most patients	2	20,4573118929	93,746901968	181,22973455	13,0	236,0	 
factor such transcription	transcription factors such	transcription factors such	3	9,92855903949	52,6758419438	336,684101807	5,0	76,0	 
interaction sperm-egg	sperm-egg interaction	sperm-egg interaction	2	4,72091812914	28,5563577056	123,162875035	3,0	62,0	 
cell epithelial kidney rat tubule	rat kidney tubule epithelial cells	rat kidney tubule epithelial cells	5	3,9714236158	24,709315429	158,618838826	2,0	17,0	 
cell precursor	precursor cells	precursor cells|&|precursor cell|&|cell precursors	2	31,4727875276	146,745170159	240,822895291	25,0	449,0	 
control regional	regional control	regional control	2	4,72091812914	28,5563577056	163,402132822	5,0	47,0	 
basal-like cancer	basal-like cancers	basal-like cancers	2	4,72091812914	30,4705252852	231,413002953	2,0	26,0	 
early event neural neurulation	early neurulation events and neural	early neurulation events and neural	5	3,9714236158	24,709315429	123,29458906	2,0	23,0	 
hypoxia marker	markers of hypoxia	markers of hypoxia|&|markers for hypoxia|&|hypoxia marker|&|marker for hypoxia	3	7,86819688189	43,5746529293	555,264199846	7,0	73,0	 
sequence signal	signal sequence	signal sequence	2	4,72091812914	28,5563577056	130,454864665	7,0	87,0	 
Preoperative lymphoscintigraphy	Preoperative lymphoscintigraphy	Preoperative lymphoscintigraphy	2	18,8836725165	88,0471020957	339,661063345	12,0	189,0	 
gene proneural	proneural genes	proneural genes|&|proneural gene	2	7,86819688189	47,5939295094	292,916875064	5,0	53,0	 
complex hydrocortisone progesterone	hydrocortisone and progesterone complexes	hydrocortisone and progesterone complexes	4	3,9714236158	24,709315429	542,236731577	2,0	17,0	 
activator protein	activator protein	activator protein	2	9,44183625827	50,5681332296	258,911168048	11,0	131,0	 
development eye tectum	eye and tectum development	eye and tectum development	4	3,9714236158	24,709315429	738,182791717	2,0	24,0	 
breast tissue	breast tissue	breast tissue	2	4,72091812914	28,5563577056	214,297104691	5,0	61,0	 
methylation promoter	promoter methylation	promoter methylation	2	7,86819688189	43,5746529293	251,682463529	10,0	121,0	 
Tenon nomogram score	nomogram and Tenon score	nomogram and Tenon score	4	5,95713542369	41,1931447667	339,071464816	1,0	19,0	 
additional frequency node positive	frequency of additional positive nodes	frequency of additional positive nodes	5	3,9714236158	27,4620965111	195,361395812	1,0	40,0	 
blue dye mapping	blue dye mapping	blue dye mapping	3	5,95713542369	34,648562585	181,809422396	3,0	63,0	 
discriminative power	discriminative power	discriminative power	2	4,72091812914	28,5563577056	193,641540862	5,0	36,0	 
control group historical	historical control group	historical control group	3	5,95713542369	34,648562585	1171,69950908	3,0	26,0	 
expression level mRNA	mRNA expression levels	mRNA expression levels|&|mRNA expression level	3	9,92855903949	54,8913358673	450,064376125	5,0	103,0	 
actin alpha-smooth muscle	alpha-smooth muscle actin	alpha-smooth muscle actin	3	9,92855903949	52,6758419438	69,3157879746	5,0	74,0	 
biopsy breast carcinoma early lymph node sentinel	sentinel lymph node biopsy for early breast carcinoma	sentinel lymph node biopsy for early breast carcinoma	8	3,9714236158	24,709315429	279,396528967	2,0	27,0	 
sperm surface	sperm surface	sperm surface	2	4,72091812914	28,5563577056	287,993631742	3,0	44,0	 
neuronal phenotype	neuronal phenotype	neuronal phenotype	2	4,72091812914	28,5563577056	180,373815667	3,0	55,0	 
patient positive	positive patients	positive patients|&|patients and positive	2	15,7363937638	76,2416688891	208,373272643	10,0	103,0	 
incorporation thymidine	thymidine incorporation	thymidine incorporation|&|incorporation of thymidine	2	6,29455750551	38,0751436075	194,174819388	3,0	59,0	 
real time	real time	real time	2	6,29455750551	36,2643122592	157,060791579	4,0	43,0	 
lymph micrometastases node sentinel	Sentinel lymph node micrometastases	Sentinel lymph node micrometastases|&|micrometastases in the sentinel lymph node|&|micrometastases in sentinel lymph node	4	7,94284723159	46,1980834466	106,36154741	3,0	30,0	 
CTLA-4 co-receptor function impact	CTLA-4 co-receptor impacts on the function	CTLA-4 co-receptor impacts on the function	6	3,9714236158	24,709315429	423,649106784	2,0	15,0	 
new technique	new technique	new technique	2	4,72091812914	28,5563577056	206,983254017	3,0	92,0	 
protein spot	protein spots	protein spots|&|protein spot	2	4,72091812914	30,4705252852	319,525919255	2,0	11,0	 
homologous pellucida protein recombinant zona	homologous recombinant zona pellucida proteins	homologous recombinant zona pellucida proteins	5	3,9714236158	24,709315429	254,388745461	2,0	19,0	 
age day	days of age	days of age	3	4,72091812914	28,5563577056	75,4470724072	3,0	27,0	 
functional neuron	functional neurons	functional neurons	2	6,29455750551	40,627367047	448,076317392	6,0	72,0	 
breast cancer woman	women with breast cancer	women with breast cancer|&|Women with breast cancer	4	31,7713889264	131,607777462	325,858052879	16,0	271,0	 
elongation factor	elongation factor	elongation factor	2	7,86819688189	47,5939295094	202,837498116	3,0	38,0	 
category pN1mi	pN1mi categories	pN1mi categories	2	4,72091812914	28,5563577056	295,124544039	3,0	42,0	 
